Karyotype;Vial rep. nr.;Name of tube;TOTAL F;ALIVE F;DEAD F
2Lt_HET_2;12;ACS 2Lt_HET_2_12;15;14;1
2Lt_HET_2;13;ACS 2Lt_HET_2_13;15;14;1
2Lt_HET_2;14;ACS 2Lt_HET_2_14;15;11;4
2Lt_HET_2;15;ACS 2Lt_HET_2_15;15;12;3
2Lt_HET_2;16;ACS 2Lt_HET_2_16;14;10;4
2Lt_HET_2;17;ACS 2Lt_HET_2_17;15;11;4
2Lt_HET_2;18;ACS 2Lt_HET_2_18;15;7;8
2Lt_HET_2;19;ACS 2Lt_HET_2_19;15;14;1
2Lt_HET_2;20;ACS 2Lt_HET_2_20;15;12;3
3RK_HET_2;1;ACS 3RK_HET_2_1;15;15;0
3RK_HET_2;2;ACS 3RK_HET_2_2;15;14;1
3RK_HET_2;3;ACS 3RK_HET_2_3;15;14;1
3RK_HET_2;4;ACS 3RK_HET_2_4;15;15;0
3RK_HET_2;5;ACS 3RK_HET_2_5;15;13;2
3RK_HET_2;6;ACS 3RK_HET_2_6;15;14;1
3RK_HET_2;7;ACS 3RK_HET_2_7;15;10;5
3RK_HET_2;8;ACS 3RK_HET_2_8;15;15;0
3RK_HET_2;9;ACS 3RK_HET_2_9;15;13;2
3RK_HET_2;10;ACS 3RK_HET_2_10;15;14;1
3RK_HET_2;11;ACS 3RK_HET_2_11;15;13;2
3RK_HET_2;12;ACS 3RK_HET_2_12;15;13;2
3RK_HET_2;13;ACS 3RK_HET_2_13;15;12;3
3RK_HET_2;14;ACS 3RK_HET_2_14;15;13;2
3RK_HET_2;15;ACS 3RK_HET_2_15;15;14;1
3RK_HET_2;16;ACS 3RK_HET_2_16;15;13;2
3RK_HET_2;17;ACS 3RK_HET_2_17;15;14;1
3RK_HET_2;18;ACS 3RK_HET_2_18;15;14;1
3RK_HET_2;19;ACS 3RK_HET_2_19;15;10;5
3RK_HET_2;20;ACS 3RK_HET_2_20;15;13;2
